'of he' | In regular: 95 | In spam: 51 | logProbRegular: -4.545867 | logProbSpam: -5.535635
'ha you' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'ad also' | In regular: 6 | In spam: 1 | logProbRegular: -7.307984 | logProbSpam: -9.467460
'will have' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'social ielligece' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'hisory of' | In regular: 1 | In spam: 6 | logProbRegular: -9.099744 | logProbSpam: -7.675701
'he firs' | In regular: 3 | In spam: 4 | logProbRegular: -8.001132 | logProbSpam: -8.081166
'ad eperiece' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'durig he' | In regular: 3 | In spam: 4 | logProbRegular: -8.001132 | logProbSpam: -8.081166
'orgaizig commiee' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'commiee of' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'ha will' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'ediio of' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'he opic' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'opic of' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'ca fid' | In regular: 6 | In spam: 1 | logProbRegular: -7.307984 | logProbSpam: -9.467460
'ad ge' | In regular: 2 | In spam: 5 | logProbRegular: -8.406597 | logProbSpam: -7.858022
'wih his' | In regular: 2 | In spam: 5 | logProbRegular: -8.406597 | logProbSpam: -7.858022
'xaimailscaerspamscore sssss\n' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'remoe corol' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'plaium credi' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'your credi' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'we have' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'cresize var' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'var aid' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'codes aid' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'aid value' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'hp service' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'service jois' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'com asp' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'high qualiy' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'his his' | In regular: 0 | In spam: 7 | logProbRegular: -11.197530 | logProbSpam: -7.521550
'wed nov' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'faculy of' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'prioriy ormal\n' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'mo nov' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'he ediors' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'ieee member' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'are available' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'all he' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'maage your' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'your subscripio' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'isiue of' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'of elecrical' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'elecroics egieers' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'email address' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'so by' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'he form' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'member umber' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'who eed' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'your membership' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'his email' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'you ad' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'xmimeole produced' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'produced by' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'by microsof' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'microsof echage' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'are ow' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'ow available' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'tue nov' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'available for' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'\tfor jhiessikppswrugl' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'\tfor lamberlocalhos' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'coetype muliparmied\n' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'coedisposiio ilie\n' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'look forward' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'year ad' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'he naioal' | In regular: 5 | In spam: 1 | logProbRegular: -7.490306 | logProbSpam: -9.467460
'of his' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'if he' | In regular: 1 | In spam: 5 | logProbRegular: -9.099744 | logProbSpam: -7.858022
'be he' | In regular: 2 | In spam: 4 | logProbRegular: -8.406597 | logProbSpam: -8.081166
'ypes of' | In regular: 1 | In spam: 5 | logProbRegular: -9.099744 | logProbSpam: -7.858022
'ad his' | In regular: 1 | In spam: 5 | logProbRegular: -9.099744 | logProbSpam: -7.858022
'fri nov' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'for you' | In regular: 2 | In spam: 4 | logProbRegular: -8.406597 | logProbSpam: -8.081166
'researchers wihi' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'our websie' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'ielligece desig' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'hrough he' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'mbulacuairugl fri' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'fied erm' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'hree years' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'sudy he' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'of dr' | In regular: 4 | In spam: 2 | logProbRegular: -7.713450 | logProbSpam: -8.774313
'ad have' | In regular: 3 | In spam: 3 | logProbRegular: -8.001132 | logProbSpam: -8.368848
'aspecs of' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'effecs of' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'climae chage' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'work will' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'fuded by' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'molecular biology' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'for decomtt' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'systems for' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'for building' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'building the' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'basko bulgaria\n' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'his ieraioal' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'ieraioal eve' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'he regular' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'regular ieraioal' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'coferece the' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'developig couries' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'global aspecs' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'orgaized by' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'by ifac' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'cosider he' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'he possibiliy' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'possibiliy of' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'of orgaizig' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'sessio relaed' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'your research' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'research ieres' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'form provided' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'provided for' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'for ivied' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'ivied sessios' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'sessios orgaizers' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'cv or' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'your url' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'url web' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'sed your' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'your preposiios' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'laer ha' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'of jauary' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
'fid more' | In regular: 6 | In spam: 0 | logProbRegular: -7.307984 | logProbSpam: -11.197530
